"","Tubelabel_species","Health_Status","Date_Extracted","Raw_ng_ul","Extraction_physical_location","Date_Enriched","Microbe_Location","colony"
"153","062019_BEL_CBC_T3_7_PAST","Healthy","6_17_2022","7.28","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","10_30_24","UML_NARWHAL_R6_B27","3_10"
"154","062019_BEL_CBC_T3_8_MCAV","Healthy","2022","13.3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B33, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B35","11_5_2024","UML_NARWHAL_R6_B27","3_14"
"155","062024_BEL_CBC_T1_1341_SSID","Diseased_Margin","11_4_2024","3.76","UML_NARWHAL_R2_B11","","","1_3"
"156","062024_BEL_CBC_T1_1344_SSID","Diseased_Tissue","9_10_2024","19.8","UML_NARWHAL_R2_B11","","","1_3"
"157","062024_BEL_CBC_T1_1347_OANN","Healthy","12_4_2024","10.7","UML_NARWHAL_R2_B15","","","1_25"
"158","062024_BEL_CBC_T1_1350_PSTR","Healthy","12_4_2024","18.7","UML_NARWHAL_R2_B15","","","1_12"
"159","062024_BEL_CBC_T1_1353_MCAV","Healthy","12_4_2024","39.6","UML_NARWHAL_R2_B15","","","1_24"
"160","062024_BEL_CBC_T1_1356_PAST","Healthy","12_4_2024","5","UML_NARWHAL_R2_B15","","","1_2"
"161","062024_BEL_CBC_T2_1369_SSID","Diseased_Tissue","9_10_2024","21","UML_NARWHAL_R2_B11","","","2_72"
"162","062024_BEL_CBC_T2_1369_SSID","Healthy","12_4_2024","29.7","UML_NARWHAL_R2_B15","","","2_72"
"163","062024_BEL_CBC_T2_1372_OFAV","Healthy","12_4_2024","98.6","UML_NARWHAL_R2_B15","","","2_76"
"164","062024_BEL_CBC_T2_1375_SSID","Healthy","12_4_2024","71","UML_NARWHAL_R2_B15","","","2_73"
"165","062024_BEL_CBC_T2_1378_PAST","Healthy","12_4_2024","27.6","UML_NARWHAL_R2_B15","","","2_68"
"166","062024_BEL_CBC_T2_1381_SSID","Diseased_Tissue","9_10_2024","36","UML_NARWHAL_R2_B11","","","2_99"
"167","062024_BEL_CBC_T2_1381_SSID","Healthy","12_4_2024","39.7","UML_NARWHAL_R2_B15","","","2_99"
"168","062024_BEL_CBC_T2_1384_MCAV","Healthy","12_4_2024","24.1","UML_NARWHAL_R2_B15","","","2_55"
"169","062024_BEL_CBC_T2_1387_OFAV","Healthy","12_4_2024","4.62","UML_NARWHAL_R2_B15","","","2_79"
"170","062024_BEL_CBC_T2_1393_PAST","Healthy","12_4_2024","42.9","UML_NARWHAL_R2_B15","","","2_57"
"171","062024_BEL_CBC_T2_1396_MCAV","Healthy","12_4_2024","47.5","UML_NARWHAL_R2_B15","","","2_69"
"172","062024_BEL_CBC_T2_1399_PAST","Healthy","12_4_2024","17.4","UML_NARWHAL_R2_B15","","","2_63"
"173","062024_BEL_CBC_T2_1402_MCAV","Healthy","12_4_2024","26.4","UML_NARWHAL_R2_B15","","","2_60"
"174","062024_BEL_CBC_T3_1412_MCAV","Diseased_Margin","11_4_2024","3.08","UML_NARWHAL_R2_B11","","","3_2"
"175","062024_BEL_CBC_T3_1415_MCAV","Diseased_Tissue","9_10_2024","42","UML_NARWHAL_R2_B11","","","3_2"
"176","062024_BEL_CBC_T3_1418_SSID","Healthy","1_13_2025","41.4","UML_NARWHAL_R2_B15","","","3_5"
"177","062024_BEL_CBC_T3_1421_OFAV","Healthy","1_13_2025","69.4","UML_NARWHAL_R2_B15","","","3_38"
"178","062024_BEL_CBC_T3_1424_PAST","Healthy","12_5_2024","5.1","UML_NARWHAL_R2_B15","","","3_10"
"179","062024_BEL_CBC_T3_1427_MCAV","Healthy","1_13_2025","36","UML_NARWHAL_R2_B15","","","3_14"
"180","062024_BEL_CBC_T3_1430_PSTR","Healthy","1_13_2025","9.52","UML_NARWHAL_R2_B15","","","3_20"
"181","062024_BEL_CBC_T3_1433_PSTR","Healthy","12_5_2024","18.6","UML_NARWHAL_R2_B15","","","3_70"
"182","062024_BEL_CBC_T3_1436_MCAV","Healthy","12_5_2024","64.4","UML_NARWHAL_R2_B15","","","3_21"
"183","062024_BEL_CBC_T3_1439_OFAV ","Healthy","1_13_2025","52.6","UML_NARWHAL_R2_B15","","","3_66"
"184","062024_BEL_CBC_T3_1442_OFAV","Healthy","1_13_2025","71.4","UML_NARWHAL_R2_B15","","","3_39"
"185","062024_BEL_CBC_T3_1445_SSID","Healthy","1_13_2025","86.6","UML_NARWHAL_R2_B15","","","3_33"
"186","062024_BEL_CBC_T3_1448_PAST","Healthy","1_13_2025","35","UML_NARWHAL_R2_B15","","","3_34"
"187","062024_BEL_CBC_T4_1458_MCAV","Healthy","1_13_2025","20.6","UML_NARWHAL_R2_B15","","","4_30"
"188","062024_BEL_CBC_T4_1461_OFAV","Healthy","12_5_2024","25.5","UML_NARWHAL_R2_B15","","","4_78"
"189","062024_BEL_CBC_T4_1464_MCAV","Healthy","12_5_2024","6.74","UML_NARWHAL_R2_B15","","","4_76"
"190","062024_BEL_CBC_T4_1467_MCAV","Healthy","1_13_2025","21.8","UML_NARWHAL_R2_B15","","","4_28"
"191","062024_BEL_CBC_T4_1470_PSTR","Healthy","1_13_2025","21.4","UML_NARWHAL_R2_B15","","","4_98"
"192","062024_BEL_CBC_T4_1473_PSTR","Healthy","1_13_2025","10","UML_NARWHAL_R2_B15","","","4_79"
"193","082024_BEL_CBC_T1_1479_PAST","Healthy","1_14_2025","62.6","UML_NARWHAL_R2_B15","","","1_2"
"194","082024_BEL_CBC_T1_1480_SSID","Healthy","1_14_2025","43.6","UML_NARWHAL_R2_B15","","","1_3"
"195","082024_BEL_CBC_T1_1481_PSTR","Healthy","1_14_2025","45.8","UML_NARWHAL_R2_B15","","","1_12"
